abá	a . ˈ b a
abaçaí	a . b a . s a . ˈ i
abaças	a . ˈ b a . s ə s
abacateiro	a . b a . k a . ˈ t e y . ɾ ʊ
abacaxi	a . b a . k a . ˈ ʃ i
abacha	a . ˈ b a . ʃ ə
abacial	a . b a . s i . ˈ a w
ábacos	ˈ a . b a . k ʊ s
abadá	a . b a . ˈ d a
abadás	a . b a . ˈ d a s
abade	a . ˈ b a . d ʒ ɪ
abadessas	a . b a . ˈ d e . s ə s
abadia	a . b a . ˈ d ʒ i . ə
abadiânia	a . b a . d ʒ i . ˈ ã . n i . ə
abadias	a . b a . ˈ d ʒ i . ə s
abádidas	a . ˈ b a . d ʒ i . d ə s
abadín	a . b a . ˈ d ʒ ĩ
abaetetuba	a . b a . e . t i . ˈ t u . b ə
abafa	a . ˈ b a . f ə
abafada	a . b a . ˈ f a . d ə
abafadas	a . b a . ˈ f a . d ə s
abafado	a . b a . ˈ f a . d ʊ
abafador	a . b a . f a . ˈ d o x
abafadores	a . b a . f a . ˈ d o . ɾ ɪ s
abafados	a . b a . ˈ f a . d ʊ s
abafamento	a . b a . f a . ˈ m ẽ . t ʊ
abafando	a . b a . ˈ f ã . d ʊ
abafar	a . b a . ˈ f a x
abaiara	a . b a y . ˈ a . ɾ ə
abaíba	a . b a . ˈ i . b ə
abaíra	a . b a . ˈ i . ɾ ə
abaixada	a . b a y . ˈ ʃ a . d ə
abaixadas	a . b a y . ˈ ʃ a . d ə s
abaixado	a . b a y . ˈ ʃ a . d ʊ
abaixador	a . b a y . ʃ a . ˈ d o x
abaixados	a . b a y . ˈ ʃ a . d ʊ s
abaixamento	a . b a y . ʃ a . ˈ m ẽ . t ʊ
abaixando	a . b a y . ˈ ʃ ã . d ʊ
abaixaram	a . b a y . ˈ ʃ a . ɾ ã ʊ̃
abaixa	a . ˈ b a y . ʃ ə
abaixo	a . ˈ b a y . ʃ ʊ
abaixo-assinado	a . b a y . ʃ o . a . s i . ˈ n a . d ʊ
abaixo-assinados	a . b a y . ʃ o . a . s i . ˈ n a . d ʊ s
abaixou	a . b a y . ˈ ʃ o w
abajur	a . b a . ˈ ʒ u x
abalada	a . b a . ˈ l a . d ə
abaladas	a . b a . ˈ l a . d ə s
abalado	a . b a . ˈ l a . d ʊ
abalados	a . b a . ˈ l a . d ʊ s
abalam	a . ˈ b a . l ã ʊ̃
abalando	a . b a . ˈ l ã . d ʊ
abalaram	a . b a . ˈ l a . ɾ ã ʊ̃
abalaria	a . b a . l a . ˈ ɾ i . ə
abalar	a . b a . ˈ l a x
abalava	a . b a . ˈ l a . v ə
abalavam	a . b a . ˈ l a . v ã ʊ̃
abalos	a . ˈ b a . l ʊ s
ábalos	ˈ a . b a . l ʊ s
abalou	a . b a . ˈ l o w
abalroado	a . b a w . x o . ˈ a . d ʊ
abalroamento	a . b a w . x o . a . ˈ m ẽ . t ʊ
abalroar	a . b a w . x o . ˈ a x
abalroou	a . b a w . x o . ˈ o w
abaluartada	a . b a . l u . a x . ˈ t a . d ə
abaluartadas	a . b a . l u . a x . ˈ t a . d ə s
abaluartado	a . b a . l u . a x . ˈ t a . d ʊ
abana	a . ˈ b ã . n ə
aba	ˈ a . b ə
abanando	a . b a . ˈ n ã . d ʊ
abanar	a . b a . ˈ n a x
abanda	a . ˈ b ã . d ə
abando	a . ˈ b ã . d ʊ
abandonada	a . b ã . d o . ˈ n a . d ə
abandonadas	a . b ã . d o . ˈ n a . d ə s
abandonado	a . b ã . d o . ˈ n a . d ʊ
abandonados	a . b ã . d o . ˈ n a . d ʊ s
abandoná-los	a . b ã . d o . ˈ n a . l ʊ s
abandonam	a . b ã . ˈ d õ . n ã ʊ̃
abandonando	a . b ã . d o . ˈ n ã . d ʊ
abandonará	a . b ã . d o . n a . ˈ ɾ a
abandonaram	a . b ã . d o . ˈ n a . ɾ ã ʊ̃
abandonarem	a . b ã . d o . ˈ n a . ɾ ẽ ỹ
abandonariam	a . b ã . d o . n a . ˈ ɾ i . ã ʊ̃
abandonaria	a . b ã . d o . n a . ˈ ɾ i . ə
abandonar	a . b ã . d o . ˈ n a x
abandonavam	a . b ã . d o . ˈ n a . v ã ʊ̃
abandonava	a . b ã . d o . ˈ n a . v ə
abandonem	a . b ã . ˈ d õ . n ẽ ỹ
abandonos	a . b ã . ˈ d õ . n ʊ s
abandonou-os	a . b ã . d o . ˈ n o w . ʊ s
